 ,,,,,,,,,,,,,,,,,,,,,,
,TODAY,2026. 1. 12,시트 이용 주의사항,,,,,,거래 조건,,,,,,,,구분,단가,미수 (부가세포함),,,
,824,,,,25/12/24,2047453115,봉자막창 수원역점,매산로2가 향교로 막창 양,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,825,,,,25/12/24,2047453115,봉자막창 수원역점,경기 팔달구 향교로 막창,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,826,,,,25/12/24,2047453115,봉자막창 수원역점,매산로2가 경기 향교로 곱창,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,827,,,,25/12/24,1409613427,하일로,압구정바,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,828,,,,25/12/24,1409613427,하일로,서울 신사동 압구정바 맛집,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,829,,,,25/12/24,1409613427,하일로,압구정바 와인,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,830,,,,25/12/24,1409613427,하일로,압구정로데오역 압구정바 와인,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,831,,,,25/12/24,1409613427,하일로,압구정로데오술집 바(BAR),10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,,,,,25/12/24,1409613427,하일로,서울 강남구 압구정바 맛집,10,2025-12-25,26/1/1,,,,,FALSE,,,FALSE,,FALSE,
,,,,,25/12/24,1409613427,하일로,서울 신사동 칵테일 위스키,10,2025-12-25,26/1/1,,,,,FALSE,,,FALSE,,FALSE,
,,,,,25/12/24,1409613427,하일로,서울 신사동 바(BAR),10,2025-12-25,26/1/1,,,,,FALSE,,,FALSE,,FALSE,
,,,,,25/12/24,1409613427,하일로,강남구 서울 와인 칵테일,10,2025-12-25,26/1/1,,,,,FALSE,,,FALSE,,FALSE,
,,,,,25/12/24,1409613427,하일로,압구정로데오역 칵테일 와인,10,2025-12-25,26/1/1,,,,,FALSE,,,FALSE,,FALSE,
,832,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,장은리 천북면 맛집 굴전,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,833,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,홍보로 장은리 굴전 맛집,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,834,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,충남 장은리 굴요리 굴찜,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,835,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,충남 천북면 천북굴단지 굴찜,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,836,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,홍보로 천북면 굴찜 맛집,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,837,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,장은리 굴전 굴요리,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,838,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,천북면 보령시 맛집 굴찜,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,839,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,홍보로 굴전 굴요리,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,840,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,충남 장은리 굴찜 굴요리,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,841,,,,25/12/24,1997864570,천북굴단지 훈이네굴수산,홍보로 굴전 천북굴단지,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,842,,,,25/12/24,1138528583,후탄,오남읍 경기 팔현로 남양주시 오남리 남양주카페 피자,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,843,,,,25/12/24,1138528583,후탄,오남읍 오남리 경기 맛집 베이커리카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,844,,,,25/12/24,1138528583,후탄,오남읍 경기 팔현로 남양주시 오남리 피자 대형카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,845,,,,25/12/24,1138528583,후탄,오남리 남양주시 오남읍 경기 팔현로 베이커리카페 남양주디저트카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,846,,,,25/12/24,1138528583,후탄,오남리 팔현로 남양주시 경기 오남읍 베이커리카페 남양주케이크,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,847,,,,25/12/24,1138528583,후탄,팔현로 오남읍 카페 남양주디저트카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,848,,,,25/12/24,1138528583,후탄,팔현로 경기 남양주시 오남읍 카페 베이커리카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,849,,,,25/12/24,1138528583,후탄,경기 오남리 오남읍 팔현로 남양주디저트카페 카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,850,,,,25/12/24,1138528583,후탄,팔현로 경기 남양주카페 대형카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,851,,,,25/12/24,1138528583,후탄,오남리 경기 오남읍 남양주시 카페 베이커리카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,852,,,,25/12/24,1138528583,후탄,팔현로 오남리 오남읍 경기 남양주시 디저트 대형카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,853,,,,25/12/24,1138528583,후탄,오남리 경기 오남읍 남양주시 팔현로 피자 남양주케이크,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,854,,,,25/12/24,1138528583,후탄,팔현로 오남리 오남읍 경기 남양주시 커피 남양주카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,855,,,,25/12/24,1138528583,후탄,경기 오남읍 남양주시 팔현로 오남리 대형카페 디저트,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,856,,,,25/12/24,1138528583,후탄,오남리 남양주시 경기 오남읍 남양주케이크 남양주카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,857,,,,25/12/24,1138528583,후탄,팔현로 오남리 경기 남양주카페 피자,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,858,,,,25/12/24,1138528583,후탄,팔현로 오남읍 오남리 남양주카페 피자,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,859,,,,25/12/24,1138528583,후탄,남양주시 오남읍 오남리 팔현로 경기 남양주카페 베이커리카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,860,,,,25/12/24,1138528583,후탄,경기 남양주시 팔현로 오남리 디저트 피자,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,861,,,,25/12/24,1138528583,후탄,오남읍 팔현로 남양주카페 베이커리카페,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,862,,,,25/12/24,1294147426,비빔상회 본점,해안로 강릉시 꼬막 강문해변,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,863,,,,25/12/24,1294147426,비빔상회 본점,해안로 강릉시 강원 애견동반,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,864,,,,25/12/24,1294147426,비빔상회 본점,강문동 강원 애견동반,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,865,,,,25/12/24,1294147426,비빔상회 본점,강원 육회,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,866,,,,25/12/24,1294147426,비빔상회 본점,해안로 강문동 육회 강문해변,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,867,,,,25/12/24,1294147426,비빔상회 본점,해안로 강원 애견동반 한식,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,868,,,,25/12/24,1294147426,비빔상회 본점,강릉시 해안로 강원 육회,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,869,,,,25/12/24,1294147426,비빔상회 본점,강원 한식 꼬막,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,870,,,,25/12/24,1294147426,비빔상회 본점,강문동 애견동반 육회,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,871,,,,25/12/24,1294147426,비빔상회 본점,강원 강문해변 육회,10,2025-12-25,26/1/1,7,70,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,872,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,873,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,874,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,875,,,,,1165597556,홍대 한월,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1165597556,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,876,,,,,267802526,메종드 스타시티,자연유입 키워드,200,2025-12-27,2026-01-03,7,"1,400",https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,883,,,,,1770334939,거복이식당 회기 본점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,885,,,,,1249534579,오봉집 청천산곡점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1249534579,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,886,,,,,1814512864,야키토리 리을리을,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1814512864,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,887,,,,,1864889927,초이스테판 김포구래,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1864889927,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,888,,,,,1848049619,구명애포항물회 광안리본점,자연유입 키워드,100,2025-12-27,2025-12-31,4,400,https://m.place.naver.com/place/1848049619,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,889,,,,,1091056146,뻥쟁이네 역곡점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1091056146,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,890,,,,,36536114,뻥쟁이네 부천남부역점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/36536114,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,891,,,,,1029063503,뻥쟁이네 구래동점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1029063503,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,892,,,,,1022013892,이쁘다헤어 서면점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1022013892,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,893,,,,,1287821286,이쁘다헤어 대구 동성로점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1287821286,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,894,,,,,1839268518,이쁘다헤어 대구 동성로스타점,자연유입 키워드,100,2025-12-27,2026-01-03,7,700,https://m.place.naver.com/place/1839268518,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,895,,,,,1632138788,이쁘다헤어 명지국제신도시점,자연유입 키워드,50,2025-12-27,2026-01-03,7,350,https://m.place.naver.com/place/1632138788,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,896,,,,,1509576334,이쁘다헤어 화명점,자연유입 키워드,50,2025-12-27,2026-01-03,7,350,https://m.place.naver.com/place/1509576334,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,897,,,,,1201249206,퍼스트헤어 서면점,자연유입 키워드,50,2025-12-27,2026-01-03,7,350,https://m.place.naver.com/place/1201249206,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,898,,,,,2038302317,거복이식당 대학로,서울 대학로삼겹살 혜화회식,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,899,,,,,2038302317,거복이식당 대학로,서울 혜화역고기집 혜화삼겹살,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,900,,,,,2038302317,거복이식당 대학로,서울 혜화삼겹살 혜화역고기집,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,901,,,,,2038302317,거복이식당 대학로,서울 혜화삼겹살 혜화회식,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,902,,,,,2038302317,거복이식당 대학로,서울 혜화회식 대학로삼겹살,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,903,,,,,2038302317,거복이식당 대학로,서울 혜화회식 대학로고기집,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,904,,,,,2038302317,거복이식당 대학로,서울 혜화역 혜화회식 고기,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,905,,,,,2038302317,거복이식당 대학로,서울 고기 혜화회식,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,906,,,,,2038302317,거복이식당 대학로,서울 찌개 혜화역고기집,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,907,,,,,2038302317,거복이식당 대학로,서울 혜화역고기집 찌개,10,2025-12-27,26. 1. 3.,7,70,https://m.place.naver.com/place/2038302317,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,908,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,909,,,,12/31,1173433139,하이짐PT,남양읍 역골로 경기 남양PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,910,,,,12/31,1173433139,하이짐PT,남양리 화성시 경기 2 PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,911,,,,12/31,1173433139,하이짐PT,역골로 남양리 경기 PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,912,,,,12/31,1173433139,하이짐PT,남양리 경기 역골로 화성시,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,913,,,,12/31,1173433139,하이짐PT,경기 남양리 역골로 남양PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,914,,,,12/31,1173433139,하이짐PT,경기 역골로 화성시 남양PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,915,,,,12/31,1173433139,하이짐PT,역골로 화성시 경기 PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,916,,,,12/31,1173433139,하이짐PT,남양리 남양읍 화성시 PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,917,,,,12/31,1173433139,하이짐PT,남양리 남양읍PT,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,918,,,,12/31,1173433139,하이짐PT,남양읍 남양리 경기 2,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1173433139,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,919,,,,12/31,2047453115,봉자막창 수원역점,매산로2가 곱창 수원역고기집,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,920,,,,12/31,2047453115,봉자막창 수원역점,향교로 팔달구 2 양,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,921,,,,12/31,2047453115,봉자막창 수원역점,수원시 향교로 곱창 양,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,922,,,,12/31,2047453115,봉자막창 수원역점,수원시 향교로 경기 양 곱창,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,923,,,,12/31,2047453115,봉자막창 수원역점,경기 향교로 매산로2가 막창,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,924,,,,12/31,2047453115,봉자막창 수원역점,향교로 수원역 막창,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,925,,,,12/31,2047453115,봉자막창 수원역점,2 수원역고기집,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,926,,,,12/31,2047453115,봉자막창 수원역점,팔달구 경기 2 양,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,927,,,,12/31,2047453115,봉자막창 수원역점,수원시 향교로 팔달구 곱창,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,928,,,,12/31,2047453115,봉자막창 수원역점,수원시 매산로2가 곱창 막창,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/2047453115,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,929,,,,12/31,1409613427,하일로,서울 신사동 압구정바,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,930,,,,12/31,1409613427,하일로,서울 강남구 위스키 와인,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,931,,,,12/31,1409613427,하일로,신사동 압구정바 칵테일,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,932,,,,12/31,1409613427,하일로,강남구 서울 위스키 와인,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,933,,,,12/31,1409613427,하일로,압구정로데오역 위스키 칵테일,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,934,,,,12/31,1409613427,하일로,압구정로데오술집 와인,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,935,,,,12/31,1409613427,하일로,서울 강남구 와인 위스키,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,936,,,,12/31,1409613427,하일로,신사동 압구정바,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,937,,,,12/31,1409613427,하일로,신사동 강남구 압구정바 맛집,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,938,,,,12/31,1409613427,하일로,압구정로데오역 위스키 와인,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1409613427,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,939,,,,12/31,1997864570,천북굴단지 훈이네굴수산,천북굴,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,940,,,,12/31,1997864570,천북굴단지 훈이네굴수산,장은리 천북면 굴구이 맛집,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,941,,,,12/31,1997864570,천북굴단지 훈이네굴수산,장은리 홍보로 굴찜 맛집,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,942,,,,12/31,1997864570,천북굴단지 훈이네굴수산,장은리 천북면 굴찜,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,943,,,,12/31,1997864570,천북굴단지 훈이네굴수산,보령시 장은리 굴전 천북굴,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,944,,,,12/31,1997864570,천북굴단지 훈이네굴수산,충남 장은리 굴전 굴찜,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,945,,,,12/31,1997864570,천북굴단지 훈이네굴수산,보령시 천북면 천북굴 굴찜,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,946,,,,12/31,1997864570,천북굴단지 훈이네굴수산,홍보로 굴구이 천북굴단지,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,947,,,,12/31,1997864570,천북굴단지 훈이네굴수산,충남 천북면 굴전 맛집,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,948,,,,12/31,1997864570,천북굴단지 훈이네굴수산,홍보로 보령시 장은리 굴찜,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1997864570,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,949,,,,12/31,1138528583,후탄,오남리 팔현로 피자 대형카페,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,950,,,,12/31,1138528583,후탄,오남읍 남양주시 카페,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,951,,,,12/31,1138528583,후탄,경기 팔현로 오남리,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,952,,,,12/31,1138528583,후탄,경기 오남리 피자 대형카페,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,953,,,,12/31,1138528583,후탄,경기 남양주시 디저트 카페,10,2026-01-01,2026-01-08,7,70,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
